timestamp,label,step_order,score_all_backend_requested,score_all_backend_active,score_all_cuda_build,samples,match_ms_avg,score_all_ms_avg,score_all_ratio_pct,score_all_throughput_mchecks_s_avg,score_avg,match_ms_sum,score_all_ms_sum,score_all_calls_total,score_all_candidates_total,score_all_evaluated_candidates_total,score_all_scan_points_total,score_all_cell_checks_total,score_all_evaluated_cell_checks_total,last_match_ms,last_score_all_ms,last_score_all_ratio_pct,last_score_all_throughput_mchecks_s,last_score,last_score_all_calls,last_score_all_candidates,last_score_all_evaluated_candidates,last_score_all_cell_checks,last_score_all_evaluated_cell_checks,source
2026-05-17T17:58:28,test1_cpu_baseline,0,cpu_baseline,cpu_baseline,True,2141,44.435,41.82,94.116,102.681,0.831,95134.968,89537.536,117204,8556630,8556630,125745556,9193791788,9193791788,49.16,46.236,94.053,97.447,0.783,98,4168,4168,4505608,4505608,results/all_tests/test1_cpu_baseline.log
2026-05-17T18:00:38,test2_gpu_thread_per_candidate,1,gpu_thread_per_candidate,gpu_thread_per_candidate,True,3805,17.525,14.366,81.975,298.944,0.831,66681.603,54662.366,207429,15204038,15204038,222648751,16340981456,16340981456,31.62,28.521,90.201,157.973,0.783,98,4168,4168,4505608,4505608,results/all_tests/test2_gpu_thread_per_candidate.log
2026-05-17T18:02:48,test3_gpu_block_per_candidate,2,gpu_block_per_candidate,gpu_block_per_candidate,True,3839,15.369,11.865,77.204,362.142,0.83,59000.116,45550.696,211759,15349448,15349448,227252040,16495839278,16495839278,19.644,16.541,84.204,272.392,0.783,98,4168,4168,4505608,4505608,results/all_tests/test3_gpu_block_per_candidate.log
2026-05-17T18:04:59,test4_gpu_block_cached_map_shared,3,gpu_block_cached_map_shared,gpu_block_cached_map_shared,True,3842,10.317,4.839,46.901,888.067,0.83,39639.134,18591.138,212311,15362932,15362932,227838964,16510177126,16510177126,8.782,5.526,62.919,815.398,0.783,98,4168,4168,4505608,4505608,results/all_tests/test4_gpu_block_cached_map_shared.log
2026-05-17T18:07:09,test5_gpu_block_cached_map_shared_pruned,4,gpu_block_cached_map_shared_pruned,gpu_block_cached_map_shared_pruned,True,3842,11.733,7.543,64.286,569.716,0.83,45079.356,28979.67,212311,15362932,15358964,227838964,16510177126,16505887718,12.638,9.475,74.976,475.514,0.783,98,4168,4168,4505608,4505608,results/all_tests/test5_gpu_block_cached_map_shared_pruned.log
