timestamp,label,step_order,score_all_backend_requested,score_all_backend_active,score_all_cuda_build,samples,match_ms_avg,score_all_ms_avg,score_all_ratio_pct,score_all_throughput_mchecks_s_avg,score_avg,match_ms_sum,score_all_ms_sum,score_all_calls_total,score_all_candidates_total,score_all_evaluated_candidates_total,score_all_scan_points_total,score_all_cell_checks_total,score_all_evaluated_cell_checks_total,last_match_ms,last_score_all_ms,last_score_all_ratio_pct,last_score_all_throughput_mchecks_s,last_score,last_score_all_calls,last_score_all_candidates,last_score_all_evaluated_candidates,last_score_all_cell_checks,last_score_all_evaluated_cell_checks,source
2026-05-17T23:35:14,test2_baseline,0,gpu_thread_per_candidate,gpu_thread_per_candidate,True,3341,26.125,21.72,83.138,197.065,0.836,87283.734,72566.259,168194,13296604,13296604,180710506,14300245604,14300245604,48.882,43.698,89.395,103.107,0.783,98,4168,4168,4505608,4505608,results/isolated_modules/test2_baseline.log
2026-05-17T23:37:19,test2_plus_test3_block,1,gpu_block_per_candidate,gpu_block_per_candidate,True,3661,20.76,16.682,80.357,257.083,0.833,76001.767,61072.569,193189,14604188,14604188,207458561,15700694954,15700694954,38.834,33.379,85.955,134.982,0.783,98,4168,4168,4505608,4505608,results/isolated_modules/test2_plus_test3_block.log
2026-05-17T23:39:24,test2_plus_test4_cached_map,2,gpu_thread_cached_map,gpu_thread_cached_map,True,3799,16.475,11.963,72.611,359.061,0.831,62587.954,45445.961,207733,15182534,15182534,222964573,16317870272,16317870272,33.103,26.5,80.054,170.021,0.783,98,4168,4168,4505608,4505608,results/isolated_modules/test2_plus_test4_cached_map.log
2026-05-17T23:41:30,test2_plus_test5_pruned,3,gpu_thread_pruned,gpu_thread_pruned,True,3481,24.05,20.346,84.597,210.609,0.834,83719.503,70824.324,180282,13873030,13869062,193635545,14916274770,14911985362,40.828,36.305,88.921,124.104,0.783,98,4168,4168,4505608,4505608,results/isolated_modules/test2_plus_test5_pruned.log
